Respondent_ID,Date,Age_Group,Gender,Region,Product,Rating,Recommend,Feedback
1,2024-01-01,18-25,Male,West,Product A,4,Yes,Good
2,2024-01-02,36-50,Female,South,Product A,4,Yes,Good
3,2024-01-03,26-35,Female,South,Product C,2,No,Poor
4,2024-01-04,26-35,Female,West,Product A,5,Yes,Excellent
5,2024-01-05,18-25,Female,North,Product A,4,Yes,Good
6,2024-01-06,18-25,Male,North,Product C,3,No,Average
7,2024-01-07,18-25,Female,South,Product B,5,Yes,Excellent
8,2024-01-08,36-50,Male,North,Product C,4,Yes,Good
9,2024-01-09,26-35,Male,West,Product A,5,Yes,Excellent
10,2024-01-10,26-35,Male,North,Product B,5,Yes,Excellent
11,2024-01-11,18-25,Male,South,Product A,4,Yes,Good
12,2024-01-12,36-50,Male,West,Product A,4,Yes,Good
13,2024-01-13,36-50,Female,North,Product C,3,No,Average
14,2024-01-14,18-25,Female,East,Product A,5,Yes,Excellent
15,2024-01-15,18-25,Female,West,Product B,3,No,Average
16,2024-01-16,18-25,Female,West,Product B,3,No,Average
17,2024-01-17,18-25,Male,East,Product A,5,Yes,Excellent
18,2024-01-18,26-35,Female,East,Product C,3,No,Average
19,2024-01-19,18-25,Male,West,Product A,4,Yes,Good
20,2024-01-20,18-25,Female,East,Product B,5,Yes,Excellent
21,2024-01-21,26-35,Male,South,Product C,2,No,Poor
22,2024-01-22,18-25,Male,South,Product B,5,Yes,Excellent
23,2024-01-23,18-25,Female,South,Product C,2,No,Poor
24,2024-01-24,18-25,Male,West,Product A,5,Yes,Excellent
25,2024-01-25,18-25,Male,East,Product B,3,No,Average
26,2024-01-26,26-35,Female,East,Product A,4,Yes,Good
27,2024-01-27,18-25,Male,North,Product B,3,No,Average
28,2024-01-28,26-35,Female,North,Product C,3,No,Average
29,2024-01-29,26-35,Female,East,Product A,4,Yes,Good
30,2024-01-30,18-25,Female,East,Product B,4,Yes,Good
31,2024-01-31,26-35,Male,East,Product A,5,Yes,Excellent
32,2024-02-01,18-25,Male,West,Product B,5,Yes,Excellent
33,2024-02-02,18-25,Male,East,Product B,3,No,Average
34,2024-02-03,36-50,Female,North,Product C,3,No,Average
35,2024-02-04,36-50,Male,West,Product B,4,Yes,Good
36,2024-02-05,36-50,Female,East,Product A,5,Yes,Excellent
37,2024-02-06,18-25,Female,North,Product A,4,Yes,Good
38,2024-02-07,18-25,Male,West,Product A,4,Yes,Good
39,2024-02-08,26-35,Female,East,Product A,5,Yes,Excellent
40,2024-02-09,18-25,Male,East,Product A,4,Yes,Good
41,2024-02-10,18-25,Male,East,Product C,4,Yes,Good
42,2024-02-11,18-25,Male,West,Product B,4,Yes,Good
43,2024-02-12,18-25,Male,North,Product B,4,Yes,Good
